sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:52660117-59739333,301008,1.509121050341022,454256,205,7.453950885561293,66.56818137986517,2988,63.17913477382661,0.9999384999385256,4478,78436.33277478955,4478,280.0648724399216,9.0,13.0,7.0,7.0,4.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr4:75452279-190000000,4817065,1.413508311286709,6808960,1326,7.855285984804288,81.40596792019252,3973,53.31167588562745,0.999927506639975,6934,53443.20401206076,6934,231.1778622880244,8.0,12.0,7.0,7.0,4.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__Stanford_/problems/chr5:100000-17500000,765083,1.4283789188609848,1092827,865,9.33254613905047,118.20620356966074,3498,55.42364423206371,0.9999256328501496,5953,65664.97255351457,5953,256.2517757080223,9.0,13.0,7.0,7.0,4.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,1404872,1.3073485038839865,1836656,901,10.126290922807415,128.1379407511898,3331,40.958090132054735,0.999897504367604,4599,36149.00907017207,4599,190.1289274944033,13.0,18.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,1192409,1.763377132659291,2102665,1476,6.414410534319544,47.765771965491496,4018,88.31901973232338,0.9999158446547703,4819,108647.28256349606,4819,329.61687238898446,21.0,28.0,14.0,14.0,7.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,350942,1.4080400979081953,494139,56,8.600690090320647,85.97946672471112,2870,52.03252674231069,0.999924318540633,3572,54531.153021602535,3572,233.5190635078912,14.0,19.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr3:60000-66170270,4940156,1.4153515426135417,6992056,1107,9.405544199782709,113.8354973970348,4589,52.53808989027877,0.9999219786176357,6786,57531.03407091304,6786,239.8562779476765,15.0,20.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr4:52660117-59739333,467178,1.317344389813711,615433,56,9.107474975592543,97.25044502757062,2660,41.54272461460086,0.9999177982938554,3228,36982.395780016814,3228,192.3080751815088,12.0,17.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,7438283,1.2523514166308831,9315343,647,9.935599073169929,122.86358062044054,3525,35.479381330341965,0.9999057936584608,4020,24955.278111698124,4020,157.97239667643876,12.0,17.0,9.0,9.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UTA_/problems/chr5:100000-17500000,1110734,1.2782486880285362,1419793,777,9.996150843746944,126.10218924712076,2986,38.46773935073564,0.9999045911214254,4248,30805.698985989577,4248,175.51552349005937,13.0,17.0,9.0,9.0,4.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr10:18024675-38818835,1672712,1.1838512450746124,1980241,1170,11.818244604440086,186.78109431746933,2802,32.22313285251735,0.9998684233713796,3865,17922.250232893373,3865,133.87400880265508,15.0,21.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr1:17175658-29878082,1330364,1.471657735520305,1957839,1035,6.672053704598869,51.88146663301541,3059,66.78749274634612,0.9999236053540173,3458,55719.80785683415,3458,236.05043498547963,21.0,28.0,14.0,14.0,7.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr2:16329724-21153113,409016,1.2288742466657705,502628,40,9.710528773647036,114.17217757173243,2308,38.85757769867193,0.9999247721927568,3299,25969.78543253487,3299,161.15143633407328,15.0,21.0,12.0,12.0,6.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr3:60000-66170270,5616937,1.2282623480132229,6899071,662,10.602638809986944,150.97659897264418,3744,38.44123122620033,0.9999193431311544,5009,25218.212122843564,5009,158.80243109865657,16.0,22.0,12.0,12.0,6.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr4:52660117-59739333,542451,1.173413217808093,636518,80,10.582111188028094,135.7055220984988,2090,30.69091217455586,0.999904477343988,2577,15762.455826959014,2577,125.54861937496172,15.0,20.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr4:75452279-190000000,8404113,1.1294071283200415,9491664,723,11.357294500210203,169.12722891215515,2665,26.241706174107843,0.9998706307481006,3030,9457.532461541652,3030,97.24984556050283,14.0,19.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/GM12878/GM12878_CTCF_Sg__UW_/problems/chr5:100000-17500000,1406785,1.1484989877621583,1615690,616,11.293347954777277,156.93028293645594,2423,29.225790010555983,0.9998918561402486,2776,13876.838755398034,2776,117.79999471730902,15.0,20.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1260515,1.2056058084241823,1519683,257,7.039756001920624,65.23312989213167,2140,41.566868303828194,0.9999206690906468,2504,17822.783348489284,2504,133.50199754494045,15.0,20.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1121719,1.513259125733919,1697450,771,4.936434784570669,29.39386038035285,2699,83.60840281746141,0.9999200983789064,3290,55043.72896798432,3290,234.6139999402941,26.0,33.0,15.0,15.0,7.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,308638,1.2848815922912675,396562,26,5.858464693762495,40.86268288328476,1761,52.43278857431684,0.9999389932143636,2067,26917.72460055529,2067,164.06622016903813,16.0,21.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4426539,1.273202669896881,5635880,352,6.951789661386044,62.73807892038329,2875,50.89399935254157,0.99993811640542,3798,28186.077017462227,3798,167.88709604213847,16.0,22.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,416909,1.189247987565602,495807,69,6.905245976847693,56.62305672472581,1612,37.756815036374846,0.9999205406087974,1771,15890.550332205055,1771,126.05772619004776,14.0,19.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,6226014,1.158650648496879,7213774,627,7.759106903077741,91.23773591204947,2365,33.97689292057486,0.9999020353759884,3497,11823.587120860951,3497,108.73631923539142,13.0,18.0,9.0,9.0,5.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1159136,1.2110228748161345,1403739,724,6.646193367799609,54.62072956024889,1935,42.87201501808244,0.9998937292940728,2159,17742.300764683314,2159,133.2002280954628,15.0,21.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr10:18024675-38818835,1556302,1.0949115884395113,1704012,906,14.276491910990318,371.8188199406445,1564,21.91620585207756,0.9997145725012976,3131,4446.06826405734,3131,66.67884420157071,12.0,18.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr1:17175658-29878082,1379325,1.260250673518332,1738294,512,15.97699892146665,427.3115686127508,2650,43.676518586990014,0.9998943476327816,6307,23580.75816295816,6307,153.56027534150283,16.0,25.0,16.0,16.0,9.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr2:16329724-21153113,365090,1.1886307174415005,433956,109,30.455570153365105,1205.2387307879449,1587,32.81931030704758,0.9999218892973372,8426,33224.798034080166,8426,182.27670732729447,13.0,19.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr3:60000-66170270,5332944,1.1505045150491953,6135575,274,28.07596522054163,1232.3597238498448,4123,29.02254270811769,0.9999053413650572,9068,17212.40731065957,9068,131.19606438708277,14.0,20.0,12.0,12.0,6.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr4:52660117-59739333,517005,1.094736210938407,565983,55,12.114085985896551,201.7704368583453,1265,21.751687121014303,0.9998102772016656,1812,4782.749390897397,1812,69.1574246982737,12.0,18.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr4:75452279-190000000,7417407,1.0875268254157855,8066628,350,31.13647369427607,1781.9219029328738,2805,20.247143240218584,0.9998275270053152,6283,5639.708060836279,6283,75.0979897256663,12.0,17.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/H1hESC/H1-hESC_CTCF_Sg__HudsonAlpha_/problems/chr5:100000-17500000,1387538,1.1011591042256892,1527899,406,11.955195738662145,226.31661969469445,1621,23.816598896750936,0.9997844008905288,2663,5180.683406739743,2663,71.97696441737276,13.0,19.0,12.0,12.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1095856,1.0789557012560969,1182379,71,6.417353360162658,52.68985673286359,1225,27.914898490312595,0.9998846868469862,1268,6247.177211712404,1268,79.03908660727554,11.0,16.0,9.0,9.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,1105770,1.2169178191828491,1345630,458,4.633278377929248,25.27546442655011,1691,58.46326993859483,0.999939268455188,1759,22570.210290303185,1759,150.2338520117992,18.0,26.0,14.0,14.0,8.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,308398,1.088418499531448,335665,44,7.009894568824897,58.89633852686509,1266,31.987700957853164,0.9999188503237564,1389,9376.201902573084,1389,96.83079005447122,13.0,19.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4380718,1.1088607184622974,4857605,275,6.830704121888067,59.81529972795066,1955,35.84643133842443,0.9999279138898132,2310,11663.97341373379,2310,107.99987691536408,14.0,20.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,312647,1.0597448871887054,331325,45,6.38853822280076,46.73041173757181,753,22.01808749164393,0.9998408076625556,753,4223.996464751733,753,64.99228003964573,10.0,14.0,8.0,8.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,4542666,1.0427511163601102,4736869,241,7.0161038367805375,65.42914963022204,1131,19.15282325400987,0.999777470901234,1167,2847.342649729584,1167,53.36049709035312,9.0,13.0,7.0,7.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__Broad_/problems/chr5:100000-17500000,1886062,1.1217298910268545,2115651,392,10.205898598879182,136.0863077394568,2673,42.502644663855165,0.999941343237338,4073,20342.272324191035,4073,142.6263381153391,18.0,30.0,19.0,19.0,12.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,1140124,1.4590346830999814,1663479,1643,8.489632161738161,94.31926011975276,3189,49.95350067185674,0.9998394422580916,4904,42432.59957148354,4904,205.99174636738127,14.0,18.0,9.0,9.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,1116190,2.116894181899302,2362854,1997,6.066875393518783,43.97133271673356,4519,107.54038111791004,0.9998811498833295,6298,150297.99352386413,6298,387.68285172788353,24.0,30.0,13.0,13.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,310109,1.5385639841603571,477121,75,9.04121892366178,98.93453094642146,2929,57.65961645743916,0.9999079262557354,4433,69440.22962401858,4433,263.5151411665345,15.0,20.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr3:60000-66170270,4561249,1.6494069167034986,7523354,947,8.713535045637745,97.13636324256262,5421,67.10723948637752,0.999908626045775,8040,89114.42412511012,8040,298.5203914728609,16.0,21.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr4:52660117-59739333,304339,1.4075863020720385,428382,38,7.543041103353939,66.28578272396558,2186,44.20257344605851,0.9998958468616737,2456,33395.98123850205,2456,182.7456736519419,11.0,15.0,8.0,8.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,5337874,1.3512382179193847,7212738,1452,7.969076512174404,77.96496606702772,2886,39.83200839884943,0.9998736183363844,3124,25750.32944406471,3124,160.46909186527077,12.0,16.0,8.0,8.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UTA_/problems/chr5:100000-17500000,1769180,1.5805336825725378,2796247,2402,12.561938110424853,197.17838743123124,6438,63.52110638827027,0.9998914441285808,11391,136051.82679369327,11391,368.8520391616309,18.0,25.0,13.0,13.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr10:18024675-38818835,1185679,1.2413690732222409,1471864,1474,9.271902664654853,116.46277457993692,2309,37.28663913251394,0.9998000871940566,2982,16157.803392192274,2982,127.11334859955612,19.0,24.0,12.0,12.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr1:17175658-29878082,1341337,1.6721149659742227,2242868,1052,6.44952930344914,51.21574058263222,3682,86.32117432084554,0.9999201450359348,5251,85878.61856799528,5251,293.0505392726573,28.0,36.0,17.0,17.0,8.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr2:16329724-21153113,374921,1.264819161421103,474206,107,9.750975327827062,121.34850298029544,2210,42.36372462465426,0.9999198756029956,3595,25950.3949514708,3595,161.09126280301734,20.0,26.0,13.0,13.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr3:60000-66170270,5299630,1.324007397498957,7016748,776,9.788088407110418,128.57381073507327,4126,48.76325781233784,0.9999234282654038,5605,35532.57029686241,5605,188.5008495918849,22.0,28.0,14.0,14.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr4:52660117-59739333,373873,1.2157101895836009,454520,89,8.922612971938486,97.7948578732424,1756,33.843107151358886,0.9998881191414252,2059,14195.075940170284,2059,119.14309019062031,17.0,22.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr4:75452279-190000000,5716893,1.161096973670309,6637866,862,8.96869807617542,107.32588443638458,2012,28.941910229909848,0.9998283660136644,2237,7671.336507049197,2237,87.58616618535828,17.0,22.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HeLaS3/HeLa-S3_CTCF_Sg__UW_/problems/chr5:100000-17500000,2362889,1.2653350476196925,2989845,913,14.019810337126552,248.26266463591008,4636,46.484624119033946,0.9999256191052812,6556,43206.19336397995,6556,207.8609952924789,24.0,33.0,18.0,18.0,9.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr10:18024675-38818835,1310966,1.1615947031385276,1522810,1035,7.320464569070064,69.31414764188403,1961,38.19314535998645,0.9998712110058472,2528,14955.28445073544,2528,122.29180042314955,15.0,21.0,12.0,12.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr1:17175658-29878082,963342,1.3951632910879948,1344018,355,4.672716696737313,27.4869948145578,2254,75.96666085357018,0.999939078795534,2735,37641.42665039689,2735,194.0139857082393,28.0,35.0,14.0,14.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr2:16329724-21153113,446481,1.2879412291703995,575040,46,6.656792486706276,53.15162722265831,2396,60.45171463063378,0.9999514936569418,2744,39463.35324300444,2744,198.65385282698256,20.0,28.0,15.0,15.0,8.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr3:60000-66170270,4061357,1.2032983565095008,4887023,346,6.794287641870001,61.50296787235969,2595,44.997903656339496,0.9999340005078222,2915,19819.59020400121,2915,140.7820663436974,17.0,22.0,11.0,11.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr4:52660117-59739333,392476,1.1380724886935474,446665,78,6.974594426074229,58.12996275162681,1413,33.45213210489304,0.9999122894206496,1524,11829.684122610946,1524,108.76435134091936,14.0,19.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr4:75452279-190000000,6313213,1.108672415879587,6999284,269,7.805640927829244,85.29100689079975,2111,29.417045963758863,0.999892533133558,2671,8316.969230355768,2671,91.19741898955128,13.0,18.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__Broad_/problems/chr5:100000-17500000,951171,1.1534047541448953,1097084,675,7.357603873757642,72.83035701730529,1726,35.80632399431858,0.9998809603120916,2517,13312.361655475104,2517,115.37920807266404,14.0,19.0,10.0,10.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr10:18024675-38818835,1509347,1.1725972706059449,1769855,2067,17.00550850346337,552.551280959379,2179,26.91040893843497,0.999760162832925,6182,13365.209710648567,6182,115.6080002017532,11.0,16.0,9.0,9.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr1:17175658-29878082,1120251,1.4592948002677977,1634775,804,13.931509322753866,410.0538069848543,2837,56.289904673149145,0.9999040818568838,9915,45701.74285300254,9915,213.77965958669347,15.0,21.0,11.0,11.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr2:16329724-21153113,492685,1.4489916457607717,713895,272,34.66037526475467,1582.3062684712504,3173,56.08439469437876,0.9999290492203452,22556,177291.2076293547,22556,421.0596247912577,14.0,22.0,14.0,14.0,8.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr3:60000-66170270,4827082,1.263015267404877,6096677,327,26.376791105732863,1143.4828460001218,4899,35.76638432908329,0.999917713592612,13186,39201.89764081341,13186,197.99469094097805,11.0,16.0,9.0,9.0,5.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr4:52660117-59739333,463141,1.1866217558405665,549572,103,17.748798412695425,450.89686391116095,1716,26.954229921341447,0.9998969627415664,4537,18320.80479112381,4537,135.35436746231653,11.0,15.0,9.0,9.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr4:75452279-190000000,7282732,1.1479939324959276,8360531,456,38.30226461454978,3128.0473194744977,3617,23.68348320383065,0.9998892033631198,14671,14673.872936957923,14671,121.13576241951806,10.0,14.0,8.0,8.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__HudsonAlpha_/problems/chr5:100000-17500000,1091028,1.1585771937816387,1264039,758,15.73165408653281,445.6463874242437,1913,24.80114717495793,0.9998321471573108,4872,11116.341536683012,4872,105.43406250677724,10.0,14.0,8.0,8.0,4.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr10:18024675-38818835,1603465,1.3675430193630789,2192806,1813,9.3406805601568,107.34381696762108,3084,45.84041310536868,0.9998199464019588,4142,31597.05473021883,4142,177.75560393478128,20.0,27.0,15.0,15.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr1:17175658-29878082,1314007,1.6403699830898792,2155456,1073,6.225017698249436,45.72083451285207,2914,71.50090144116432,0.999874747540581,3552,52560.27184229782,3552,229.26027096358808,27.0,36.0,18.0,18.0,9.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr2:16329724-21153113,561159,1.5204701706114856,853224,104,8.998552659529814,96.78106982563196,3492,62.77393572944567,0.9999079629906216,4795,66359.34279221889,4795,257.6030721715463,25.0,34.0,18.0,18.0,9.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr3:60000-66170270,5099149,1.4143558884739176,7212010,912,8.536841415068645,95.50011886890536,3650,50.390538107437145,0.9998881295566968,5368,35178.19313648737,5368,187.5585059027912,20.0,27.0,14.0,14.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr4:52660117-59739333,478010,1.3327740691074854,637078,158,8.310039868950378,79.62515694586067,2161,42.10899981171942,0.999877377364674,2493,24383.17793306167,2493,156.15113811004284,19.0,26.0,13.0,13.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr4:75452279-190000000,6955618,1.329810137619711,9249650,1118,8.878110987697335,96.63357946819345,3163,41.25479878279687,0.999865276798418,3763,23987.661934201788,3763,154.87950779299948,18.0,25.0,13.0,13.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UTA_/problems/chr5:100000-17500000,1165704,1.31833751821862,1536790,1408,8.17800208523004,81.47398998347266,2194,40.872884540157706,0.9998046622203242,3139,20606.03406281377,3139,143.54802005884224,18.0,25.0,13.0,13.0,7.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UW_/problems/chr10:18024675-38818835,1657124,1.2048471960138143,1996580,1402,10.08478865905191,135.38698044382164,2456,35.45658140247803,0.9998101581323224,3361,14920.596689826409,3361,122.14989435045128,20.0,26.0,13.0,13.0,6.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UW_/problems/chr1:17175658-29878082,1332721,1.478778738219581,1970798,672,6.095310303784131,46.56755835312988,2645,67.46118880095683,0.9999053346678816,3821,40995.98067169356,3821,202.4746420460932,27.0,35.0,17.0,17.0,8.0,0,1
CTCF_TDH_ENCODE/samples/HepG2/HepG2_CTCF_Sg__UW_/problems/chr2:16329724-21153113,534410,1.3325467946834728,712125,104,9.19077589093504,104.774149474208,2817,53.35437585374525,0.9999259254536352,3764,39211.07488930235,3764,198.01786507611465,24.0,32.0,16.0,16.0,8.0,0,1
